split,evaluation_role,accuracy,balanced_accuracy,macro_f1,weighted_f1,high_risk_recall,high_risk_precision,high_risk_f2,false_alarm_rate,alert_rate,any_risk_alert_rate,tp,fp,fn,tn
train,in_sample,0.8480562579013906,0.9084066188225687,0.8042656127264602,0.8558243836596554,0.9980523094045631,0.5861111111111111,0.8750487900078063,0.0424387628589619,0.09671302149178256,0.43283817951959547,3587,2533,7,57153
valid,out_of_time,0.70275,0.7658992588569157,0.6552301007269367,0.7138618094564229,0.9019607843137255,0.4490238611713666,0.7505438723712836,0.03268772923235313,0.057625,0.4508125,414,508,45,15033
test,out_of_time,0.699,0.7359690726506463,0.6394393254722033,0.7118282280552684,0.8126094570928196,0.4308263695450325,0.6902707527521571,0.03155077461526584,0.05385,0.4465,464,613,107,18816
